goos: linux
goarch: amd64
pkg: github.com/getsyntegrity/go-specs/specs
cpu: 13th Gen Intel(R) Core(TM) i7-13620H
BenchmarkFalseSharing_Chunk1_Padded        	   36747	     66040 ns/op	   98552 B/op	       8 allocs/op
BenchmarkFalseSharing_Chunk1_Padded        	   34975	     79114 ns/op	   98552 B/op	       8 allocs/op
BenchmarkFalseSharing_Chunk1_Padded        	   35104	     87826 ns/op	   98552 B/op	       8 allocs/op
BenchmarkFalseSharing_Chunk1_Padded        	   31974	     74250 ns/op	   98552 B/op	       8 allocs/op
BenchmarkFalseSharing_Chunk1_Padded        	   32848	     71182 ns/op	   98552 B/op	       8 allocs/op
BenchmarkFalseSharing_Chunk1_Padded        	   33505	     70053 ns/op	   98552 B/op	       8 allocs/op
BenchmarkFalseSharing_Chunk1_Padded        	   34398	     68205 ns/op	   98552 B/op	       8 allocs/op
BenchmarkFalseSharing_Chunk1_Padded        	   34774	     84623 ns/op	   98552 B/op	       8 allocs/op
BenchmarkFalseSharing_Chunk1_Padded        	   35835	     63995 ns/op	   98552 B/op	       8 allocs/op
BenchmarkFalseSharing_Chunk1_Padded        	   37485	     63950 ns/op	   98552 B/op	       8 allocs/op
BenchmarkFalseSharing_Chunk1_Padded        	   37569	     69971 ns/op	   98552 B/op	       8 allocs/op
BenchmarkFalseSharing_Chunk1_Padded        	   31009	     66583 ns/op	   98552 B/op	       8 allocs/op
BenchmarkFalseSharing_Chunk1_Padded        	   36742	     63680 ns/op	   98552 B/op	       8 allocs/op
BenchmarkFalseSharing_Chunk1_Padded        	   37743	     95366 ns/op	   98552 B/op	       8 allocs/op
BenchmarkFalseSharing_Chunk1_Padded        	   38012	     64132 ns/op	   98552 B/op	       8 allocs/op
BenchmarkFalseSharing_Chunk1_Padded-2      	   29564	     86293 ns/op	   98761 B/op	      11 allocs/op
BenchmarkFalseSharing_Chunk1_Padded-2      	   27418	     88168 ns/op	   98761 B/op	      11 allocs/op
BenchmarkFalseSharing_Chunk1_Padded-2      	   26431	     89041 ns/op	   98761 B/op	      11 allocs/op
BenchmarkFalseSharing_Chunk1_Padded-2      	   25678	    115705 ns/op	   98762 B/op	      11 allocs/op
BenchmarkFalseSharing_Chunk1_Padded-2      	   27826	     85042 ns/op	   98761 B/op	      11 allocs/op
BenchmarkFalseSharing_Chunk1_Padded-2      	   28206	     82165 ns/op	   98761 B/op	      11 allocs/op
BenchmarkFalseSharing_Chunk1_Padded-2      	   28539	     84429 ns/op	   98761 B/op	      11 allocs/op
